City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
165,mukalla,14.5425,49.1242,72.07,80,97,2.66,YE,1706662142
166,qaqortoq,60.7167,-46.0333,4.06,67,100,10.78,GL,1706662142
167,port mathurin,-19.6833,63.4167,81.52,80,100,19.71,MU,1706662142
168,zeya,53.75,127.2667,-12.39,91,100,1.14,RU,1706662143
169,dapa,9.7594,126.0531,80.04,83,100,14.07,PH,1706662143
170,uturoa,-16.7333,-151.4333,84.31,73,100,11.21,PF,1706662143
171,ciudad lazaro cardenas,17.9583,-102.2,78.03,73,100,2.68,MX,1706662143
172,metlili chaamba,32.2667,3.6333,49.14,66,0,6.91,DZ,1706662143
173,santa cruz,-17.8,-63.1667,81.86,83,40,9.22,BO,1706661905
174,labasa,-16.4167,179.3833,84.87,78,97,7.78,FJ,1706662144
175,al musayyib,32.7833,44.2825,49.87,61,0,7.65,IQ,1706662144
176,pereslavl'-zalesskiy,56.7393,38.8563,23.04,99,100,4.47,RU,1706662144
177,san antonio de pale,-1.4014,5.6325,82.24,79,100,5.03,GQ,1706662144
178,coahuayana de hidalgo,18.7,-103.6583,76.37,85,100,1.68,MX,1706662144
179,panorama,40.5878,23.0315,37.45,51,0,5.01,GR,1706662144
180,cabo san lucas,22.8909,-109.9124,78.1,53,100,12.66,MX,1706662145
181,st. john's,47.5649,-52.7093,23.79,82,100,18.41,CA,1706662003
182,vila velha,-20.3297,-40.2925,80.55,94,75,6.91,BR,1706662145
183,gadani,25.1185,66.7299,68.22,83,100,7.38,PK,1706662145
184,vilyuchinsk,52.9306,158.4028,5.27,63,100,5.99,RU,1706662145
185,happy valley-goose bay,53.3168,-60.3315,3.51,51,20,5.75,CA,1706662146
186,vershino-darasunskiy,52.35,115.5167,-17.99,87,86,3.74,RU,1706662146
187,luganville,-15.5333,167.1667,85.15,72,99,5.44,VU,1706662146
188,yellowknife,62.456,-114.3525,13.41,99,100,9.22,CA,1706662049
189,mata-utu,-13.2816,-176.1745,85.41,78,100,14.99,WF,1706662146
190,kharp,66.8014,65.8081,2.86,98,100,3.49,RU,1706662147
191,longboat key,27.4125,-82.659,60.01,74,0,4.61,US,1706662147
192,ambovombe,-25.1667,46.0833,73.33,84,94,15.26,MG,1706662147
193,kingscliff,-28.2667,153.5667,85.73,65,100,17.27,AU,1706662147
194,tromso,69.6496,18.957,35.62,87,100,32.21,NO,1706662148
195,susangerd,31.5608,48.1831,58.15,35,0,7.81,IR,1706662035
196,huesca,42.1362,-0.4087,36.28,93,0,3.44,ES,1706662148
197,colonel hill,22.7667,-74.2167,73.35,53,99,6.73,BS,1706662148
198,nizhnesortymskiy,62.4397,71.7603,-7.06,99,96,12.68,RU,1706662148
199,shanor-northvue,40.9105,-79.9156,37.47,90,40,0.0,US,1706662148
200,soure,-0.7167,-48.5233,79.39,83,83,8.95,BR,1706662149
201,lubango,-14.9172,13.4925,64.26,88,20,5.75,AO,1706662149
202,vernon,50.2581,-119.2691,46.62,92,100,3.0,CA,1706662149
203,mokopane,-24.1944,29.0097,64.78,73,6,4.83,ZA,1706661980
204,tuy hoa,13.0833,109.3,72.45,88,98,3.51,VN,1706662149
205,liwale,-9.7667,37.9333,69.98,99,100,2.71,TZ,1706662150
